url,naslov,kraj,ime,vrsta,nadstropje,leto,velikost,cena,ponudnik,dan,mesec
/oglasi-oddaja/ajdovscina-vipavska-cesta-4a-poslovni-prostor_6196541/,"AJDOVŠČINA, VIPAVSKA CESTA 4A",AJDOVŠČINA,"AJDOVŠČINA, VIPAVSKA CESTA 4A",Poslovni prostor,1,1950,15.0,90.0,EURO NINE d.o.o.,1,1
/oglasi-oddaja/ajdovscina-vipavska-cesta-4a-poslovni-prostor_6196543/,"AJDOVŠČINA, VIPAVSKA CESTA 4A",AJDOVŠČINA,"AJDOVŠČINA, VIPAVSKA CESTA 4A",Poslovni prostor,1,1950,28.2,169.2,EURO NINE d.o.o.,1,1
/oglasi-oddaja/ankaran-stanovanje_6195565/,ANKARAN,ANKARAN,ANKARAN,Stanovanje,1,2007,146.0,2100.0,Zasebna ponudba,1,1
/oglasi-oddaja/ankaran-hisa_6141930/,ANKARAN,ANKARAN,ANKARAN,Hiša,K+P+1,2000,306.0,3500.0,"Central RE d.o.o., PE LJUBLJANA",1,1
/oglasi-oddaja/ankaran-center-poslovni-prostor_6196682/,"ANKARAN, CENTER",ANKARAN,"ANKARAN, CENTER",Poslovni prostor,P,1998,25.0,1000.0,Zasebna ponudba,1,1
/oglasi-oddaja/ankaran-prva-vrsta-le-100-m-od-morja-pocitniski-objekt_6190240/,"ANKARAN, PRVA VRSTA, LE 100 M OD MORJA",ANKARAN,"ANKARAN, PRVA VRSTA, LE 100 M OD MORJA",Počitniški objekt,1,2000,69.8,800.0,Obala nepremičnine d.o.o.,1,1
/oglasi-oddaja/arclin-poslovni-prostor_6140517/,ARCLIN,ARCLIN,ARCLIN,Poslovni prostor,1,2012,79.0,440.0,KAPITOL posredovanje d.o.o.,1,1
/oglasi-oddaja/arnovo-selo-stanovanje_6150114/,ARNOVO SELO,ARNOVO SELO,ARNOVO SELO,Stanovanje,2,2017,17.0,80.0,Zasebna ponudba,1,1
/oglasi-oddaja/avstrija-pocitniski-objekt_5238919/,AVSTRIJA,AVSTRIJA,AVSTRIJA,Počitniški objekt,,2013,45.0,,Zasebna ponudba,1,1
/oglasi-oddaja/avstrija-simonhohe-3-st-urban-stanovanje_6197599/,"AVSTRIJA, SIMONHOHE 3, ST. URBAN",AVSTRIJA,"AVSTRIJA, SIMONHOHE 3, ST. URBAN",Stanovanje,2,1985,53.0,470.0,Mernet d.o.o.,1,1
/oglasi-oddaja/bac-78b-poslovni-prostor_6197403/,"BAČ, 78B",BAČ,"BAČ, 78B",Poslovni prostor,,2002,300.0,1050.0,Zasebna ponudba,1,1
/oglasi-oddaja/bac-knezak-okolica-poslovni-prostor_6084274/,"BAČ, KNEŽAK OKOLICA",BAČ,"BAČ, KNEŽAK OKOLICA",Poslovni prostor,,2002,300.0,1200.0,"Ruj Nepremičnine, Jernej Suša, s.p.",1,1
/oglasi-oddaja/baska-pocitniski-objekt_6188145/,BAŠKA,BAŠKA,BAŠKA,Počitniški objekt,1,2008,46.0,475.0,Zasebna ponudba,1,1
